"id","description","category","humidity_percents","energy_kcal","energy_kj","protein_g","lipid_g","cholesterol_mg","carbohydrate_g","fiber_g","ashes_g","calcium_mg","magnesium_mg","manganese_mg","phosphorus_mg","iron_mg","sodium_mg","potassium_mg","copper_mg","zinc_mg","retinol_mcg","re_mcg","rae_mcg","thiamine_mg","riboflavin_mg","pyridoxine_mg","niacin_mg","vitaminC_mg","saturated_g","monounsaturated_g","polyunsaturated_g","12:0_g","14:0_g","16:0_g","18:0_g","20:0_g","22:0_g","24:0_g","14:1_g","16:1_g","18:1_g","20:1_g","18:2 n-6_g","18:3 n-3_g","20:4_g","20:5_g","22:5_g","22:6_g","18:1t_g","18:2t_g","tryptophan_g","threonine_g","isoleucine_g","leucine_g","lysine_g","methionine_g","cystine_g","phenylalanine_g","tyrosine_g","valine_g","arginine_g","histidine_g","alanine_g","aspartic_g","glutamic_g","glycine_g","proline_g","serine_g"
1,"Arroz, integral, cozido","Cereais e derivados",70.1386666666667,123.5348925,516.86999022,2.58825,1.00033333333333,"NA",25.80975,2.74933333333333,0.463,5.204,58.702,0.627333333333333,105.853,0.262,1.24466666666667,75.1516666666667,0.020333333333333,0.682666666666667,"NA","","",0.08,"Tr",0.08,"Tr","",0.3,0.4,0.3,"","Tr",0.25,0.02,"Tr","Tr","Tr","","",0.36,"Tr",0.31,0.01,"","","Tr","","","","","","","","","","","","","","","","","","","","",""
2,"Arroz, integral, cru","Cereais e derivados",12.1798333333333,359.678002032609,1504.89276050444,7.32328586956522,1.86483333333333,"NA",77.4507141304348,4.81916666666667,1.18133333333333,7.818,109.71,2.99333333333333,250.865,0.948333333333333,1.64566666666667,173.34,0.074833333333333,1.39516666666667,"NA","","",0.261666666666667,"Tr",0.175,4.18333333333333,"",0.3,0.5,0.4,"",0.01,0.239333339293798,0.02,0.01,"Tr","Tr","","Tr",0.45,"Tr",0.38,0.02,"","","","","","","","","","","","","","","","","","","","","","","",""
3,"Arroz, tipo 1, cozido","Cereais e derivados",69.1136666666667,128.258485666667,536.633504029333,2.52081666666667,0.227,"NA",28.05985,1.561,0.078666666666667,3.54433333333333,2.25333333333333,0.296666666666667,17.945,0.076666666666667,1.20066666666667,14.6736666666667,0.015,0.491333333333333,"NA","","","Tr","Tr","Tr","Tr","",0.2,"Tr","Tr","","Tr",0.16,0.01,"","","","","",0.04,"",0.06,"","","","","","","","","","","","","","","","","","","","","","","","",""
4,"Arroz, tipo 1, cru","Cereais e derivados",13.2245,357.789273115942,1496.9903187171,7.15853985507246,0.335,"NA",78.7595434782609,1.63916666666667,0.522416666666667,4.41433333333333,30.3836666666667,1.03233333333333,104.207583333333,0.6777475,1.01916666666667,62.4994166666667,0.114833333333333,1.22483333333333,"NA","","",0.163333333333333,"Tr",0.069166666666667,1.11666666666667,"",0.1,0.1,0.1,"Tr","Tr",0.06,0.01,"Tr","Tr","Tr","","",0.06,"",0.08,"Tr","","","","","","Tr","","","","","","","","","","","","","","","","","",""
5,"Arroz, tipo 2, cozido","Cereais e derivados",68.7276666666667,130.119648333333,544.420608626667,2.56841666666667,0.361666666666667,"NA",28.1925833333333,1.06966666666667,0.149666666666667,3.33366666666667,6.05333333333333,0.371,21.5213333333333,0.050333333333333,1.95966666666667,20.2033333333333,0.041,0.549333333333333,"NA","","","Tr","Tr","Tr","Tr","",0.1,0.1,0.1,"","Tr",0.12,0.02,"","","","","Tr",0.12,"Tr",0.09,"Tr","","","","","","","","","","","","","","","","","","","","","","","",""
6,"Arroz, tipo 2, cru","Cereais e derivados",13.16475,358.116761456522,1498.36052993409,7.24188297101449,0.2755,"NA",78.8814503623188,1.71983333333333,0.436416666666667,4.8335,29.2390833333333,0.828,82.0439166666667,0.597833333333333,0.568833333333333,57.2845833333333,0.052,1.27208333333333,"NA","","",0.163333333333333,"Tr",0.049166666666667,0.918333333333333,"",0.1,0.1,0.1,"","Tr",0.06,0.01,"Tr","Tr","Tr","","",0.09,"Tr",0.09,"Tr","","","","","","","","","","","","","","","","","","","","","","","",""
7,"Aveia, flocos, crua","Cereais e derivados",9.13333333333333,393.822689449275,1647.75413265577,13.9210260869565,8.49666666666667,"NA",66.6356405797102,9.13,1.81333333333333,47.89,118.762333333333,1.89466666666667,153.396666666667,4.44666666666667,4.62666666666667,336.333333333333,0.44,2.63,"NA","","",0.553333333333333,0.03,"Tr",4.47,1.35,1.54,3.15566666666667,3.01633333333333,"",0.015333333333333,1.37033333333333,0.139,"Tr","",0.015333333333333,"","Tr",3.10133333333333,0.054333333333333,2.95433333333333,0.062,"","","","","","","","","","","","","","","","","","","","","","","",""
8,"Biscoito, doce, maisena","Cereais e derivados",3.21666666666667,442.819390144928,1852.75632836638,8.07252173913043,11.9666666666667,"NA",75.2341449275362,2.1,1.51,54.45,37.1433333333333,0.778333333333333,166.103333333333,1.76,352.026666666667,141.64,0.17,1.03,"NA","","",1.01,0.416666666666667,0.23,3.90666666666667,6.21666666666667,3.9,3.7,2.2,0.03,0.07,2.76,0.94,0.03,0.02,0.01,"",0.02,3.7,0.02,2.13,0.1,"","","","",1.36,0.22,"","","","","","","","","","","","","","","","","",""
9,"Biscoito, doce, recheado com chocolate","Cereais e derivados",2.18333333333333,471.824779710145,1974.11487830725,6.39721739130435,19.5833333333333,"Tr",70.5494492753623,2.95666666666667,1.28666666666667,27.23,47.9766666666667,0.588,139.45,2.27,239.2,232.4,0.273333333333333,0.993333333333333,"Tr","","",0.316666666666667,0.393333333333333,0.456666666666667,2.52333333333333,3.52666666666667,6.2,6.6,1.7,0.19,0.13,3.11,2.55,0.07,0.07,0.02,"",0.02,6.55,0.04,1.68,0.06,"","","","",3.84,0.37,"","","","","","","","","","","","","","","","","",""
10,"Biscoito, doce, recheado com morango","Cereais e derivados",2.73333333333333,471.174736231884,1971.3950963942,5.71982608695652,19.5733333333333,"Tr",71.0135072463768,1.53333333333333,0.96,35.78,27.1,0.659,137.743333333333,1.48,229.816666666667,113.013333333333,0.126666666666667,0.726666666666667,"Tr","","",0.896666666666667,0.42,0.21,1.49666666666667,"Tr",6.1,6.5,1.7,0.07,0.07,3.35,2.41,0.06,"","","",0.04,6.4,0.02,1.61,0.06,"","","","",4.21,0.32,"","","","","","","","","","","","","","","","","",""
