																Ácido	Ácido			
Número do		Triptofano	Treonina	Isoleucina	Leucina	Lisina	Metionina	Cistina	Fenilalanina	Tirosina	Número do	Valina	Arginina	Histidina	Alanina	Aspártico	Glutâmico	Glicina	Prolina	Serina
Alimento	Descrição dos alimentos	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	Alimento	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)
56	Pastel, de carne, frito	0.1183050267	0.3031989653	0.4135465533	0.810920604	0.388287692	0.18852964	0.07132227093	0.495830348	0.3601486373	56	0.5030959613	0.4131210373	0.1760102067	0.311139036	0.5385353653	3.37078144	0.296063612	1.18154504	0.4748382253
80	Alface, roxa, crua	0.001863333333	0.02571357	0.03155626667	0.0600108	0.0547562	0.006675176667	0.001647932	0.03706084	0.03601852	80	0.04214745333	0.06295056667	0.01607884667	0.04719106667	0.0525546	0.1055033667	0.03678363333	0.02978567	0.03091384667
83	Alho-poró, cru	0.0078	0.0328974	0.0387558	0.070596	0.0756393	0.0095217	0.00367458	0.0485967	0.055215	83	0.0507012	0.0828765	0.0222054	0.0645276	0.0542148	0.181962	0.0468639	0.033579	0.043446
123	Farinha, de puba	0	0.006935933333	0.02661466667	0.04116166667	0.024508	0.0006184233333	0.01982	0.023054	0.004122533333	123	0.01755733333	0.02305166667	0.03726466667	0.03982933333	0.088487	0.3187	0.0085613	0.06191733333	0.01060033333
147	Quiabo, cru	0.0056539	0.04983903	0.04487298833	0.07650692	0.06663754833	0.009292818333	0.003676249833	0.04858676667	0.02537918167	147	0.05885604833	0.10873415	0.02300598833	0.06693600333	0.27017565	0.3281363333	0.04915281333	0.04064274167	0.05564856
151	Repolho, roxo, refogado	0.008287133333	0.03254782133	0.059697648	0.07210016333	0.06739500667	0.009562762933	0.003752851467	0.04739903733	0.04439758067	151	0.071167966	0.067015986	0.04341364133	0.09548712667	0.16896918	0.5256776867	0.060605026	0.083623906	0.08100988333
176	Banana, doce em barra	0.00448392	0.00786804872	0.0187660844	0.0385252252	0.003677424301	0.00356357344	0.0203064428	0.0124261732	0.0143186512	176	0.0265711824	0.0112001288	0.0280754936	0.0207231836	0.0801219356	0.0889517412	0.000832576024	0.00475154848	0.0272758612
185	Cajá, polpa, congelada	0	0.020361912	0.021099584	0.035445648	0.034838848	0.0056871592	0.003402508	0.018780952	0.01698056	185	0.026299696	0.033677728	0.0068286648	0.061835544	0.065947024	0.081717264	0.021965176	0.022443072	0.024876832
224	 Mamão, doce em calda, drenado	0	0.012533972	0.0074503385	0.00922841975	0.001608501057	0.00544197665	0.013722005	0.0038950307	0.01622536025	224	0.002445548023	0.01982401355	0.0343453055	0.0055344674	0.03665818475	0.02146345025	0.0015072431	0.0041123687	0.0288450668
227	 Mamão verde, doce em calda, drenado	0	0.0168082432	0.001067258258	0.004034243512	0.00396670096	0.005519135848	0.0115146904	0.00589318696	0.0189543376	227	0.0099244552	0.0187855048	0.0368688496	0.007087856656	0.0069911032	0.00633916336	0.0138198712	0.006815202688	0.032525728
229	Manga, Palmer, crua	0.02352646667	0.01421843967	0.01660352533	0.028223896	0.02344323933	0.005896034	0.00122759006	0.01713513173	0.008613111533	229	0.01882163207	0.02239994867	0.0095451266	0.02885367133	0.03194881067	0.044689146	0.02239732733	0.015840062	0.021417604
248	Pitanga, polpa, congelada	0.00173166	0.009742649	0.011527775	0.021266567	0.018141599	0.0025258961	0.0022449203	0.011219348	0.011638697	248	0.014792792	0.015674981	0.0030653042	0.01623797	0.02960846	0.039889892	0.013588211	0.012141836	0.012444278
323	Apresuntado	0.1605788282	0.6715948003	0.7419811285	1.157377861	1.260165379	0.4456848012	0.24165122	0.6935835096	0.5904080754	323	0.7917058283	1.187002389	0.7687371207	0.8634192374	1.355225203	2.541900927	0.7637044217	0.6668581424	0.6410515234
424	Mortadela	0.1350237387	0.5746493017	0.608747166	0.9377777239	1.054751381	0.385067251	0.2958110767	0.5928567313	0.5225895401	424	0.6637498569	1.077264271	0.4772352307	0.8780891704	1.179454118	2.15551413	0.998797685	0.7402798506	0.6041650494
438	Presunto, com capa de gordura	0.1108285307	0.7300569126	0.7100863393	1.169980113	1.347728405	0.4710915599	0.2288046925	0.6715207169	0.57746543	438	0.7378413606	1.221720201	0.9115853485	0.9040658163	1.40758918	2.394196636	0.8137091611	0.7039423313	0.6813939238
439	Presunto, sem capa de gordura	0.1504161878	0.7080174658	0.6856551637	1.150260356	1.277590572	0.4772202824	0.2171323249	0.6331220689	0.5493728799	439	0.7246797484	1.200988742	0.8932680987	0.8839943993	1.366843228	2.358256191	0.7284231782	0.6472291704	0.6791153295
441	Quibe, cru	0.017	0.351526	0.3956665	0.784193	0.931889	0.2349774	0.04195855	0.4638195	0.453509	441	0.47736	0.853145	0.4987715	0.6483885	0.9982315	2.1646525	0.514505	0.474844	0.4465305
443	Salame	0.2830652836	1.219639129	1.211597726	2.017314812	0.07256788433	0.7906223735	0.3488523728	1.083224341	0.9672284109	443	1.299107116	1.960735918	1.300184558	1.612275104	2.338208854	4.242628669	1.554487371	1.383489293	1.150052082
463	Queijo, mozarela	0.3805000345	1.048989931	1.38621029	2.382080856	2.058984351	0.8516192265	0.358081355	1.272001519	1.613751768	463	1.770075691	1.127322831	0.863990953	0.7940768094	1.761464627	5.908172486	0.5524905373	2.75596768	1.497983177
467	Queijo, prato	0.480480363	1.006295638	1.20948952	2.188081979	1.93669797	0.8177352903	0.3604317643	1.134333476	1.431249	467	1.471128173	1.135696294	0.8389371588	0.8100722335	1.66194499	5.325042523	0.5558821609	2.755751396	1.543268145
468	Maria mole	0	0.0329707898	0.05463671007	0.1032656607	0.1045813833	0.02001702267	0.01858405213	0.0627933948	0.01629612713	468	0.06736500053	0.3270472733	0.0300398584	0.4109007193	0.227113362	0.4387696353	0.9878795933	0.5840880207	0.090036812
501	Doce, de leite, cremoso	0.0253935	0.2265343875	0.28408914	0.559793295	0.3365651925	0.1183284518	0.0176766975	0.227923335	0.2086819875	501	0.3405973725	0.1751548725	0.069861879	0.22217517	0.4438796625	1.28488545	0.0905021775	0.57259008	0.2806687125
506	Marmelada	0.19681283	0.02049585473	0.001926643613	0.008002058333	0.005505264913	0.007108348133	0.01419678563	0.007280360883	0.02425442783	506	0.01196477843	0.02297057003	0.04154870313	0.01037318793	0.05048278073	0.01047828583	0.01661933003	0.008984232233	0.03700907873
509	Quindim	0.0719648	0.212978675	0.226273335	0.42154846	0.32652982	0.10317744	0.0254593785	0.19525682	0.1607702	509	0.263516165	0.481439805	0.0614642675	0.313452205	0.359277465	0.75361685	0.15521071	0.22471218	0.35835437
510	Rapadura	0.0224375	0.022748125	0.0032325	0.008774	0.0109515625	0.00767375	0.02406875	0.0115631875	0.03488375	510	0.0076214375	0.03308125	0.062460625	0.00284295	0.160428125	0.0388159375	0.02391125	0.01812296875	0.0536546875
580	Pé-de-moleque, amendoim	0.06871578	0.335118	0.504511854	0.97174266	0.476507934	0.14191086	0.0908498262	0.754350618	0.537061434	580	0.581436366	1.87029024	0.254178708	0.62700246	1.79765922	3.08809578	0.910598556	0.618860088	0.685130502
