		Sa-	Mono-	Poli-																				
Número do	Descrição dos alimentos	turados	insaturados	insaturados	12:0	14:0	16:0	18:0	20:0	22:0	24:0	Número do	14:1	16:1	18:1	20:1	18:2 n-6	18:3 n-3	20:4	20:5	22:5	22:6	18:1t	18:2t
Alimento		(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	Alimento	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)
Cereais e derivados																								
1	Arroz, integral, cozido	0.3	0.4	0.3		Tr	0.25	0.02	Tr	Tr	Tr	1			0.36	Tr	0.31	0.01			Tr			
2	Arroz, integral, cru	0.3	0.5	0.4		0.01	0.2393333393	0.02	0.01	Tr	Tr	2		Tr	0.45	Tr	0.38	0.02						
3	Arroz, tipo 1, cozido	0.2	Tr	Tr		Tr	0.16	0.01				3			0.04		0.06							
4	Arroz, tipo 1, cru	0.1	0.1	0.1	Tr	Tr	0.06	0.01	Tr	Tr	Tr	4			0.06		0.08	Tr						Tr
5	Arroz, tipo 2, cozido	0.1	0.1	0.1		Tr	0.12	0.02				5		Tr	0.12	Tr	0.09	Tr						
6	Arroz, tipo 2, cru	0.1	0.1	0.1		Tr	0.06	0.01	Tr	Tr	Tr	6			0.09	Tr	0.09	Tr						
7	Aveia, flocos, crua	1.54	3.155666667	3.016333333		0.01533333333	1.370333333	0.139	Tr		0.01533333333	7		Tr	3.101333333	0.05433333333	2.954333333	0.062						
8	Biscoito, doce, maisena	3.9	3.7	2.2	0.03	0.07	2.76	0.94	0.03	0.02	0.01	8		0.02	3.7	0.02	2.13	0.1					1.36	0.22
9	Biscoito, doce, recheado com chocolate	6.2	6.6	1.7	0.19	0.13	3.11	2.55	0.07	0.07	0.02	9		0.02	6.55	0.04	1.68	0.06					3.84	0.37
10	Biscoito, doce, recheado com morango	6.1	6.5	1.7	0.07	0.07	3.35	2.41	0.06			10		0.04	6.4	0.02	1.61	0.06					4.21	0.32
11	Biscoito, doce, wafer, recheado de chocolate	6.5	8.1	1.9		0.02	3.21	3.02	0.09	0.12	0.02	11	0.02	0.02	8.07	0.02	1.84	0.09					6.63	0.42
12	Biscoito, doce, wafer, recheado de morango	6.7	8.9	1.8		0.03	3.32	3.1	0.1	0.1	0.03	12		0.03	8.83	0.03	1.77	0.08					7.24	0.56
13	Biscoito, salgado, cream cracker	4.4	4.6	2.9	0.01	0.07	2.99	1.24	0.04	0.03	0.01	13		0.06	4.52	0.03	2.79	0.01					1.57	0.23
14	Bolo, mistura para	2.095	1.890166667	0.813	0.01	0.02683333333	1.027666667	0.9658333333	0.02183333333	0.02183333333	0.005	14		0.005	1.880166667	0.005	0.7781666667	0.03483333333					0.931	0.1528333333
15	Bolo, pronto, aipim	5	3.9	1.1	0.98	0.48	1.88	1.28	0.04	0.04	0.01	15		0.06	3.8	0.02	1	0.06	0.04				1.99	
16	Bolo, pronto, chocolate	5.5	6.2	3		0.06	2.97	2.33	0.07	0.06	0.02	16		0.06	6.15	0.04	2.83	0.04	0.02				2.49	0.42
17	Bolo, pronto, coco	4.9	3	1.8	1	0.48	1.82	1.24	0.03	0.03	0.01	17		0.05	2.92	0.03	1.69	0.06	0.02				0.89	0.19
18	Bolo, pronto, milho	4.5	3.9	1.5	0.79	0.37	1.79	1.19	0.04	0.05	0.01	18		0.06	3.79	0.03	1.34	0.08	0.04				1.82	0.17
