id,description,Saturados (g),Monoinsaturados (g),Poliinsaturados (g),12:0 (g),14:0 (g),16:0 (g),18:0 (g),20:0 (g),22:0 (g),24:0 (g),14:1 (g),16:1 (g),18:1 (g),20:1 (g),18:2 n-6 (g),18:3 n-3 (g),20:4 (g),20:5 (g),22:5 (g),22:6 (g),18:1t (g),18:2t (g)
1,"Arroz, integral, cozido",0.3,0.4,0.3,,Tr,0.25,0.02,Tr,Tr,Tr,,,0.36,Tr,0.31,0.01,,,Tr,,,
2,"Arroz, integral, cru",0.3,0.5,0.4,,0.01,0.24,0.02,0.01,Tr,Tr,,Tr,0.45,Tr,0.38,0.02,,,,,,
3,"Arroz, tipo 1, cozido",0.2,Tr,Tr,,Tr,0.16,0.01,,,,,,0.04,,0.06,,,,,,,
4,"Arroz, tipo 1, cru",0.1,0.1,0.1,Tr,Tr,0.06,0.01,Tr,Tr,Tr,,,0.06,,0.08,Tr,,,,,,Tr
5,"Arroz, tipo 2, cozido",0.1,0.1,0.1,,Tr,0.12,0.02,,,,,Tr,0.12,Tr,0.09,Tr,,,,,,
6,"Arroz, tipo 2, cru",0.1,0.1,0.1,,Tr,0.06,0.01,Tr,Tr,Tr,,,0.09,Tr,0.09,Tr,,,,,,
7,"Aveia, flocos, crua",1.5,3.2,3.0,,0.02,1.37,0.14,Tr,,0.02,,Tr,3.10,0.05,2.95,0.06,,,,,,
8,"Biscoito, doce, maisena",3.9,3.7,2.2,0.03,0.07,2.76,0.94,0.03,0.02,0.01,,0.02,3.70,0.02,2.13,0.10,,,,,1.36,0.22
9,"Biscoito, doce, recheado com chocolate",6.2,6.6,1.7,0.19,0.13,3.11,2.55,0.07,0.07,0.02,,0.02,6.55,0.04,1.68,0.06,,,,,3.84,0.37
10,"Biscoito, doce, recheado com morango",6.1,6.5,1.7,0.07,0.07,3.35,2.41,0.06,,,,0.04,6.40,0.02,1.61,0.06,,,,,4.21,0.32
11,"Biscoito, doce, wafer, recheado de chocolate",6.5,8.1,1.9,,0.02,3.21,3.02,0.09,0.12,0.02,0.02,0.02,8.07,0.02,1.84,0.09,,,,,6.63,0.42
12,"Biscoito, doce, wafer, recheado de morango",6.7,8.9,1.8,,0.03,3.32,3.10,0.10,0.10,0.03,,0.03,8.83,0.03,1.77,0.08,,,,,7.24,0.56
13,"Biscoito, salgado, cream cracker",4.4,4.6,2.9,0.01,0.07,2.99,1.24,0.04,0.03,0.01,,0.06,4.52,0.03,2.79,0.01,,,,,1.57,0.23
14,"Bolo, mistura para",2.1,1.9,0.8,0.01,0.03,1.03,0.97,0.02,0.02,0.01,,0.01,1.88,0.01,0.78,0.03,,,,,0.93,0.15
15,"Bolo, pronto, aipim",5.0,3.9,1.1,0.98,0.48,1.88,1.28,0.04,0.04,0.01,,0.06,3.80,0.02,1.00,0.06,0.04,,,,1.99,
16,"Bolo, pronto, chocolate",5.5,6.2,3.0,,0.06,2.97,2.33,0.07,0.06,0.02,,0.06,6.15,0.04,2.83,0.04,0.02,,,,2.49,0.42
17,"Bolo, pronto, coco",4.9,3.0,1.8,1.00,0.48,1.82,1.24,0.03,0.03,0.01,,0.05,2.92,0.03,1.69,0.06,0.02,,,,0.89,0.19
18,"Bolo, pronto, milho",4.5,3.9,1.5,0.79,0.37,1.79,1.19,0.04,0.05,0.01,,0.06,3.79,0.03,1.34,0.08,0.04,,,,1.82,0.17
19,"Canjica, branca, crua",0.3,0.2,0.4,,,0.27,0.03,Tr,,Tr,,Tr,0.24,Tr,0.38,0.01,,,,,,
20,"Canjica, com leite integral",0.6,0.4,0.1,0.01,0.08,0.37,0.15,Tr,,,,0.02,0.35,,0.15,Tr,,,,,0.02,
21,"Cereais, milho, flocos, com sal",0.5,0.6,0.9,,Tr,0.39,0.05,0.01,Tr,0.01,,Tr,0.60,0.01,0.89,0.03,,,,,,
22,"Cereais, milho, flocos, sem sal",0.3,0.3,0.6,,Tr,0.27,0.03,0.01,Tr,Tr,,Tr,0.33,Tr,0.60,0.02,,,,,,
23,"Cereais, mingau, milho, infantil",0.3,0.3,0.5,,Tr,0.26,0.03,Tr,Tr,,,,0.28,Tr,0.45,0.01,,,,,Tr,Tr
24,"Cereais, mistura para vitamina, trigo, cevada e aveia",0.5,0.4,1.0,,Tr,0.43,0.03,Tr,Tr,Tr,,Tr,0.34,0.02,0.93,0.06,,,,,,0.01
25,"Cereal matinal, milho",0.4,0.3,0.3,,,0.32,0.04,Tr,Tr,Tr,,Tr,0.32,,0.31,Tr,,Tr,,,Tr,
26,"Cereal matinal, milho, açúcar",0.2,0.3,0.3,,,0.20,0.03,Tr,Tr,Tr,,Tr,0.29,,0.33,Tr,,Tr,,,Tr,
27,"Creme de arroz, pó",0.4,0.3,0.4,,0.01,0.37,0.03,Tr,,0.01,,Tr,0.31,Tr,0.43,0.01,,,,,,
28,"Creme de milho, pó",0.3,0.5,0.8,,,0.29,0.04,0.01,,Tr,,Tr,0.45,Tr,0.75,0.02,,,,,,
29,"Curau, milho verde",0.8,0.5,0.2,0.01,0.11,0.48,0.19,Tr,,,Tr,0.03,0.44,,0.17,Tr,,,,,0.04,
30,"Curau, milho verde, mistura para",3.0,4.9,1.4,,0.01,1.55,1.30,0.05,0.06,0.03,, ,4.85,0.03,1.38,0.03,,,,,2.81,0.63
31,"Farinha, de arroz, enriquecida",0.2,0.1,0.2,Tr,Tr,0.18,0.01,Tr,Tr,Tr,,Tr,0.08,Tr,0.17,0.01,,,,,Tr,Tr
32,"Farinha, de centeio, integral",0.3,0.3,0.8,,Tr,0.31,0.02,Tr,Tr,,,Tr,0.26,0.01,0.73,,,,,,,Tr
33,"Farinha, de milho, amarela",0.4,0.4,0.6,Tr,Tr,0.30,0.04,0.01,,,,Tr,0.38,Tr,0.63,0.02,,,,,,
34,"Farinha, de rosca",0.6,0.4,0.8,0.01,0.02,0.44,0.07,Tr,,,,0.01,0.37,0.01,0.74,0.05,,,,,0.02,0.01
35,"Farinha, de trigo",0.3,0.2,0.4,,Tr,0.30,0.01,Tr,Tr,Tr,,Tr,0.13,,0.43,0.01,,Tr,Tr,,,Tr
36,"Farinha, láctea, de cereais",3.3,1.4,0.6,0.12,0.50,1.73,0.58,0.01,0.01,,0.03,0.11,1.20,,0.59,0.03,,,,,0.13,0.02
37,"Lasanha, massa fresca, cozida",0.6,0.4,0.1,,,0.48,0.10,,,,,0.02,0.40,Tr,0.10,,,,,,,
38,"Lasanha, massa fresca, crua",0.5,0.4,0.4,,,0.39,0.08,,,,,0.01,0.39,Tr,0.38,0.01,,,,,,
41,"Macarrão, trigo, cru, com ovos",0.5,0.4,0.8,,,0.46,0.07,Tr,Tr,Tr,,Tr,0.38,Tr,0.73,0.03,,,,,,Tr
43,"Milho, fubá, cru",0.4,0.9,1.3,,,0.35,0.07,0.02,Tr,Tr,,Tr,0.89,Tr,1.29,0.03,,,Tr,,,
44,"Milho, verde, cru",0.2,0.2,0.6,,,0.16,0.01,Tr,Tr,Tr,,Tr,0.23,Tr,0.53,0.02,,,,,,
45,"Milho, verde, enlatado, drenado",0.6,0.8,0.9,,,0.49,0.06,0.01,,,,Tr,0.78,Tr,0.88,0.03,,,,,,
46,"Mingau tradicional, pó",0.1,Tr,0.1,Tr,,0.12,0.01,,,,,,0.05,,0.13,0.01,,,,,,
47,"Pamonha, barra para cozimento, pré-cozida",0.5,0.7,1.4,,0.01,0.37,0.12,0.01,0.01,0.01,, ,0.65,0.02,1.32,0.09,,,,,0.07,0.04
48,"Pão, aveia, forma",1.1,1.0,1.6,Tr,0.01,0.62,0.40,0.01,0.01,,,0.01,0.94,0.02,1.06,0.59,,,,,0.11,0.01
49,"Pão, de soja",0.7,0.6,1.6,,0.01,0.52,0.16,0.01,0.01,,,0.01,0.62,0.01,1.41,0.14,,,,,0.01,
50,"Pão, glúten, forma",0.5,0.6,0.7,,Tr,0.39,0.08,0.01,0.01,,,0.01,0.56,0.01,0.69,0.04,,,,,0.11,0.05
51,"Pão, milho, forma",0.6,0.6,1.0,0.01,0.01,0.47,0.11,0.01,0.01,,,0.01,0.62,0.01,0.98,0.03,,,,,0.07,
52,"Pão, trigo, forma, integral",0.7,0.8,1.1,Tr,0.01,0.50,0.19,0.01,0.01,,,0.02,0.74,0.01,0.98,0.08,,,,,0.21,0.07
53,"Pão, trigo, francês",1.0,0.9,0.7,Tr,0.01,0.65,0.29,0.01,0.01,,,Tr,0.85,0.01,0.70,0.04,,,,,0.35,0.02
54,"Pão, trigo, sovado",0.8,0.7,0.7,0.01,0.01,0.66,0.14,,,,,0.02,0.62,0.01,0.68,0.04,,,,,0.06,
55,"Pastel, de carne, cru",3.7,2.9,1.1,0.07,0.12,2.47,1.00,0.03,0.01,0.01,0.01,0.05,2.82,0.01,1.06,0.04,,,,,0.52,0.07
56,"Pastel, de carne, frito",4.8,5.9,7.6,,0.12,2.73,1.70,0.06,0.10,0.04,,0.08,5.74,0.04,6.97,0.59,0.02,,,,0.54,0.15
59,"Pastel, massa, crua",2.1,1.7,0.9,0.02,0.03,1.50,0.49,0.02,0.02,0.01,,0.01,1.66,0.01,0.91,0.03,,,,,0.47,0.05
60,"Pastel, massa, frita",6.9,10.1,21.2,,0.04,4.92,1.48,0.16,0.20,0.08,,Tr,9.75,0.33,19.61,1.32,,,,,,
61,"Pipoca, com óleo de soja, sem sal",2.4,3.7,9.2,,,1.77,0.46,0.05,0.06,0.03,,,3.67,0.03,8.48,0.69,,,,,,
63,"Torrada, pão francês",0.9,0.8,1.0,,0.01,0.63,0.19,0.01,0.01,0.01,,0.01,0.76,0.01,0.99,0.05,,,,,0.38,0.07
64,"Abóbora, cabotian, cozida",0.1,0.2,0.2,,Tr,0.12,0.02,Tr,,,,Tr,0.22,Tr,0.15,0.08,,,,,,
65,"Abóbora, cabotian, crua",0.1,0.1,0.0,,,0.11,0.01,,,,,,0.08,,0.04,0.01,,,,,,
68,"Abóbora, moranga, refogada",0.1,0.2,0.4,,,0.09,0.03,Tr,Tr,,,,0.19,,0.40,0.05,,,,,,
70,"Abobrinha, italiana, cozida",0.1,Tr,0.1,,,0.05,Tr,Tr,Tr,Tr,,,Tr,,0.03,0.03,,,,,,
72,"Abobrinha, italiana, refogada",0.1,0.2,0.5,,,0.10,0.03,Tr,Tr,Tr,,,0.18,,0.40,0.06,,,,,,
81,"Alfavaca, crua",0.1,Tr,0.2,Tr,Tr,0.11,0.02,Tr,Tr,Tr,,0.01,0.01,,0.04,0.16,,,,,,
85,"Almeirão, refogado",0.8,1.1,2.6,,,0.53,0.19,0.02,0.02,Tr,,Tr,1.11,0.03,2.30,0.35,,,,,,0.04
90,"Batata, frita, tipo chips, industrializada",12.9,11.9,4.0,0.10,0.25,10.98,1.30,0.11,0.02,0.02,,0.04,11.83,0.05,3.85,0.09,,,,,0.02,0.09
93,"Batata, inglesa, frita",2.1,3.4,6.6,,0.01,1.41,0.52,0.05,0.06,0.01,,0.01,3.31,0.06,6.29,0.30,,,,,,0.07
94,"Batata, inglesa, sauté",0.3,0.2,0.4,0.02,0.01,0.19,0.07,Tr,Tr,,,,0.20,,0.33,0.03,,,,,,
99,"Biscoito, polvilho doce",2.4,4.3,0.6,,0.03,1.48,0.80,0.05,0.05,0.02,, ,4.25,0.01,0.56,,,,,,4.05,0.40
100,"Brócolis, cozido",0.1,Tr,0.2,,Tr,0.08,0.01,Tr,Tr,Tr,Tr,0.01,0.02,,0.06,0.10,,,,,,Tr
101,"Brócolis, cru",0.1,0.1,0.2,,,0.12,0.02,Tr,,Tr,,0.02,0.04,,0.07,0.12,,,,,,
104,"Caruru, cru",0.1,Tr,0.3,Tr,Tr,0.13,0.01,,Tr,Tr,,0.02,0.03,,0.09,0.17,,,,,,
105,"Catalonha, crua",0.1,Tr,0.1,Tr,,0.06,Tr,Tr,Tr,Tr,,Tr,Tr,,0.04,0.10,,,,,,
106,"Catalonha, refogada",0.7,1.1,3.0,,,0.51,0.15,0.02,0.02,0.01,,0.01,1.04,0.02,2.48,0.48,,,,,,0.01
109,"Cenoura, cozida",Tr,Tr,0.1,,,0.03,Tr,,,,, ,Tr,,0.12,Tr,,,,,,
115,"Couve, manteiga, crua",0.1,Tr,0.1,,,0.10,0.02,,,,,0.02,0.02,,0.05,0.08,,,,,,
116,"Couve, manteiga, refogada ",1.0,1.6,3.6,,,0.70,0.25,0.03,0.03,0.01,,,1.52,0.04,3.16,0.38,,,,,,
118,"Couve-flor, cozida",0.1,Tr,0.1,,,0.06,Tr,Tr,,,,Tr,0.02,,0.06,0.06,,,,,,
120,"Espinafre, Nova Zelândia, refogado",0.9,1.3,2.9,,,0.60,0.22,0.02,0.03,0.02,,Tr,1.27,0.04,2.55,0.38,,,,,,0.04
121,"Farinha, de mandioca, crua",0.1,0.1,Tr,Tr,Tr,0.08,0.02,Tr,Tr,Tr,Tr,Tr,0.08,Tr,0.03,0.01,,,,,Tr,0.10
122,"Farinha, de mandioca, torrada",0.1,0.1,Tr,Tr,0.03,0.09,0.01,,,,,,0.08,,0.03,0.01,,,,,,
123,"Farinha, de puba",0.2,0.2,Tr,,,0.20,0.02,,,,,,0.19,,0.04,,,,,,,
126,"Inhame, cru",0.1,Tr,0.1,,,0.08,Tr,Tr,Tr,Tr,,,0.04,,0.08,Tr,,,,,,
127,"Jiló, cru",0.1,0.1,0.2,,,0.05,0.02,Tr,Tr,Tr,,Tr,0.05,,0.20,Tr,,,,,,
128,"Jurubeba, crua",0.5,0.5,2.1,,,0.29,0.13,0.01,0.01,0.01,,0.03,0.48,Tr,2.09,0.03,,,,,,
